FID;ID;ID_BD;ID_CODIGO;ID_MOD;FECHA_ALTA;ALTITUD;COD_IATA;COD_ICAO;COMPE_0615;TEN_T;TIPO_0615;ETIQUETA
553;161;0;0615P;0;20120202000000;0; ; ;02;01;03;Heliport
554;162;0;0615P;0;20120202000000;0; ; ;02;01;03;Heliport
555;163;0;0615P;0;20120208000000;0; ; ;02;01;03;Heliport
556;164;0;0615P;0;20120208000000;0; ; ;02;01;03;Heliport
557;165;0;0615P;0;20120208000000;0; ; ;02;01;03;Heliport
558;166;0;0615P;0;20120206000000;0; ; ;02;01;03;Heliport
559;167;0;0615P;0;20120206000000;0; ; ;02;01;03;Heliport
560;168;0;0615P;0;20120206000000;0; ; ;02;01;03;Heliport
561;169;0;0615P;0;20120206000000;0; ; ;02;01;03;Heliport
562;170;0;0615P;0;20120206000000;0; ; ;02;01;03;Heliport
563;171;0;0615P;0;20120404000000;329; ; ;02;01;02;Aeròdrom
564;172;0;0615P;0;20120930000000;256; ; ;02;01;02;Aeròdrom
565;173;0;0615P;0;20121221000000;0; ; ;02;01;03;Helipuerto de Hotel Can Bonastre
566;174;0;0615P;0;20121221000000;0; ; ;02;01;03;Helipuerto de Nou Hospital de Mataró
567;175;0;0615P;0;20121221000000;0; ; ;02;01;03;Helipuerto de Ciudad Sanitaria
568;176;0;0615P;0;20121221000000;718; ;LECF;02;01;02;Aeródromo de Calaf-Sallavinera
569;177;0;0615P;0;20121221000000;0; ; ;02;01;03;Heliport de l´Hospital de San Pau
570;178;0;0615P;0;20121221000000;0; ; ;02;01;03;Heliport de Sant Martí de Sescorts
571;179;0;0615P;0;20121221000000;0; ; ;02;01;03;Heliport de l´Hospital General de Catalunya
572;180;0;0615P;0;20121221000000;0; ; ;02;01;03;Heliport del Complex Egara
573;181;0;0615P;0;20140820135106;76;REU;LERS;01;02;01;Aeroport de Reus
574;182;0;0615P;0;20110323000000;0; ; ;02;01;03;Heliport
575;183;0;0615P;0;20120206000000;0; ; ;01;01;03;Heliport
576;184;0;0615P;0;20120202000000;0; ; ;02;01;03;Heliport
577;185;0;0615P;0;20120517000000;686; ;LECI;02;01;02;Aeródromo de Santa Cilia de Jaca
578;186;0;0615P;0;20120517000000;531;HSK;LEHC;01;01;01;Aeropuerto de Huesca-Pirineos
579;187;0;0615P;0;20120517000000;749; ;LENA;02;01;02;Aeródromo de Benabarre
580;188;0;0615P;0;20120208000000;0; ; ;02;01;03;Helipuerto
581;189;0;0615P;0;20120127000000;0; ; ;02;01;03;Helipuerto
582;190;0;0615P;0;20120203000000;0; ; ;02;01;03;Helipuerto
583;191;0;0615P;0;20120125000000;0; ; ;02;01;03;Helipuerto
584;192;0;0615P;0;20120125000000;0; ; ;02;01;03;Helipuerto
585;193;0;0615P;0;20120514000000;0; ; ;02;01;03;Helipuerto
586;194;0;0615P;0;20140820135142;249;ZAZ;LEZG;01;02;01;Aeropuerto de Zaragoza
587;195;0;0615P;0;20120330000000;286; ; ;02;01;02;Aeródromo de Villanueva de Gállego
588;196;0;0615P;0;20120314000000;252;ZAZ;LEZG;03;01;01;Base Aérea de Zaragoza
589;197;0;0615P;0;20120705000000;209; ; ;02;01;03;Aeródromo de Cogullada
590;198;0;0615P;0;20120305000000;1019; ; ;02;01;01;Aeropuerto de Teruel - Caudé
591;210;0;0615P;0;20120620000000;0; ; ;01;01;03;Helipuerto
592;216;0;0615P;0;20110303000000;0; ; ;02;01;03;Helipuerto de Campillo de Paravientos
593;222;0;0615P;0;20120222000000;1218; ; ;02;01;02;Aeródromo de Campillo de Paravientos
594;227;0;0615P;0;20120623000000;0; ; ;02;01;03;Helipuerto
595;273;0;0615P;0;20120126000000;666; ;LEOT;02;01;02;Aeródromo de Ontur
596;274;0;0615P;0;20120126000000;700;ABC;LEAB;01;01;01;Aeropuerto de Albacete
597;275;0;0615P;0;20110209000000;0; ;LEHE;02;01;03;Helipuerto
598;277;0;0615P;0;20120508000000;684; ;LELM;02;01;02;Aeródromo de Almansa
599;278;0;0615P;0;20120508000000;0; ; ;02;01;03;Helipuerto
600;279;0;0615P;0;20120508000000;1169; ; ;02;01;02;Aeródromo
601;280;0;0615P;0;20120508000000;0; ; ;02;01;03;Helipuerto
602;281;0;0615P;0;20120508000000;1113; ; ;02;01;02;Aeródromo de Cañadillas
603;282;0;0615P;0;20120508000000;828; ; ;02;01;02;Aeródromo de Carcelén
604;283;0;0615P;0;20120808000000;0; ; ;02;01;03;Helipuerto del Hospital General de Almansa
605;284;0;0615P;0;20120813000000;0; ; ;02;01;03;Helipuerto
606;289;0;0615P;0;20120718000000;203; ;LELH;02;01;02;Aeródromo Alhama de Murcia
607;290;0;0615P;0;20120718000000;192; ;LEMP;02;01;02;Aeródromo de Los Martínez del Puerto
608;291;0;0615P;0;20120718000000;68; ;LERI;03;01;01;Base Aérea de Alcantarilla
609;293;0;0615P;0;20101015000000;0; ; ;02;01;03;Helipuerto
610;294;0;0615P;0;20120718000000;0; ; ;02;01;03;Helipuerto
611;295;0;0615P;0;20110117000000;0; ; ;02;01;03;Helipuerto
612;296;0;0615P;0;20120307000000;197;RMU;LEMI;02;01;01;Aeropuerto de Murcia
613;297;0;0615P;0;20121127000000;0; ; ;02;01;03;Helipuerto
614;298;0;0615P;0;20130123000000;197; ; ;02;01;02;Aeródromo de Totana
615;457;0;0615P;0;20140821083215;7;IBZ;LEIB;01;02;01;Aeroport des Codolar
616;458;0;0615P;0;20140821085327;3;PMI;LEPA;01;03;01;Aeroport de Son San Joan
617;459;0;0615P;0;20140820135841;42; ;LESB;01;01;02;Aeroport de Mallorca-Son Bonet
618;461;0;0615P;6085;20130220000000;57; ;LESL;02;01;02;Aeròdrom de San Luis
619;462;0;0615P;0;20120213000000;0; ; ;02;01;03;Heliport
620;463;0;0615P;0;20120216000000;0; ; ;02;01;03;Heliport
621;464;0;0615P;0;20120216000000;0; ; ;02;01;03;Heliport
622;465;0;0615P;0;20130422000000;1; ;LEPO;03;01;02;Aeròdrom Militar de Pollença
623;466;0;0615P;0;20130510000000;0; ; ;02;01;03;Heliport
624;468;0;0615P;0;20130220000000;0; ; ;02;01;03;Heliport Hospital Can Misses
625;469;0;0615P;0;20130604000000;104; ; ;02;01;02;Aeródromo de Binisalem
626;149;0;0615P;0;20140820134854;130;GRO;LEGE;01;02;01;Aeropuerto de Girona-Costa Brava
627;460;0;0615P;0;20140820135217;84;MAH;LEMH;01;02;01;Aeroport de Menorca
628;292;0;0615P;0;20140821083507;4;MJV;LELC;01;02;01;Aeropuerto de Murcia-San Javier
629;102;0;0615P;0;20140821084055;454;PNA;LEPP;01;02;01;Aeropuerto de Noáin
630;489;0;0615P;0;20150701095328;85;OZP;LEMO;03;01;01;Base Aérea de Morón de la Frontera
